number;name;score_math;score_spelling;gender;learning_advantage;not_together;together;preferences
1;luuk;10;8;1;1;;;
2;pat;9;7;1;0;;;
3;jos;8;6;1;0;;;
4;pol;7;9;1;0;;;
5;katrien;6;7;-1;0;;;
6;mo;5;5;1;0;;;
7;tia;6;7;-1;0;;;
8;karl;7;4;1;0;;;
9;siem;8;3;1;0;;;
10;ahmed;8;8;1;0;;;
11;pius;5;6;1;0;;;
12;darius;4;5;1;-1;;;
13;marius;6;7;1;0;;;
14;mario;9;6;1;0;;;
15;maria;7;8;-1;0;;;
16;marie;8;9;-1;0;;;
17;peter;9;8;1;0;;;
18;pieter;10;7;1;1;;;
19;pier;6;6;1;0;;;
20;pieter;8;7;1;0;;;
21;maarten;6;8;1;0;;;
22;sanne;7;7;-1;0;;;
23;rinus;8;6;1;0;;;
24;karla;4;5;-1;0;;;
25;carla;5;6;-1;0;;;
26;clara;6;7;-1;0;;;
27;klara;7;8;-1;0;;;
